,9861,10021,12876,14380,15496,15697
1,2,1,0,1,1,2
2,0,0,0,0,3,6
3,0,2,0,2,1,1
4,2,2,0,2,2,3
5,0,2,0,1,3,0
6,1,1,0,0,2,2
7,2,3,0,3,0,0
8,0,0,1,1,1,1
9,0,0,0,4,0,3
10,4,3,0,2,1,4
11,0,2,0,4,2,0
12,0,0,0,0,1,1
13,1,1,6,1,1,3
14,0,2,2,5,5,2
15,2,1,1,3,3,0
16,0,2,1,1,0,2
17,1,1,1,2,3,4
18,0,1,0,2,4,1
19,4,1,1,2,2,2
20,0,0,3,1,2,1
21,0,1,0,1,0,2
22,0,1,3,0,0,2
23,0,1,0,1,1,0
24,0,0,0,0,1,0
25,2,3,1,3,2,1
26,2,0,0,0,0,0
27,4,1,0,3,2,1
28,2,0,2,2,1,1
29,0,1,3,0,0,0
30,1,0,0,1,0,2
31,1,0,0,0,0,1
32,2,1,0,1,1,1
33,3,1,3,3,0,3
34,2,3,0,0,0,3
35,0,0,1,0,0,0
36,1,2,1,0,1,1
37,2,1,0,0,0,0
38,0,1,0,0,1,1
39,1,5,2,3,2,1
40,0,0,0,0,0,0
41,0,0,0,1,0,0
42,0,0,1,1,0,0
43,0,2,1,0,1,1
44,2,2,3,7,1,5
45,0,2,2,1,2,1
46,2,2,2,2,1,2
47,1,1,4,3,0,0
48,0,1,0,0,0,0
49,4,0,1,2,0,1
50,2,0,0,0,0,0
51,0,0,1,0,0,0
52,1,0,1,1,2,1
53,0,0,1,1,0,0
54,0,0,0,0,1,0
55,1,0,0,1,1,1
56,0,1,4,2,0,1
57,2,0,0,1,0,1
58,1,0,0,2,1,2
59,0,0,0,0,0,0
60,2,3,1,1,1,3
61,1,1,0,1,1,3
62,2,1,3,1,6,2
63,2,2,2,0,3,1
64,0,1,3,2,1,3
65,0,1,0,0,0,4
66,0,0,0,0,1,0
67,2,0,0,1,0,1
68,0,0,0,2,0,2
69,0,0,2,0,0,1
70,0,0,0,4,1,0
71,1,1,1,1,2,0
72,0,1,1,0,1,1
73,0,0,0,3,0,0
74,2,0,0,0,1,1
75,2,0,0,0,0,1
76,0,0,0,0,2,0
77,1,1,1,0,0,1
78,0,1,0,0,1,1
79,0,0,2,0,0,1
80,1,0,0,2,0,2
81,0,2,0,0,0,0
82,3,1,1,0,1,0
83,3,2,0,3,2,3
84,0,0,0,0,0,0
85,0,0,1,0,0,0
86,0,0,0,1,1,2
87,3,1,3,0,2,0
88,0,1,1,1,1,0
89,0,0,2,3,3,4
90,3,1,3,8,3,2
91,1,1,0,0,1,0
92,2,1,0,0,0,0
93,0,1,1,2,2,0
94,0,1,0,0,1,0
95,1,1,0,1,2,1
96,0,1,1,0,1,1
97,1,0,2,1,1,0
98,1,1,2,1,2,2
99,2,1,1,1,0,1
100,0,0,1,0,0,0
101,0,3,0,1,1,0
102,4,1,0,0,1,2
103,0,0,2,0,2,0
104,0,0,0,1,0,0
105,2,0,0,2,1,1
106,0,0,0,1,2,1
107,2,1,2,3,4,1
108,1,0,1,4,1,0
109,2,3,4,1,3,1
110,1,1,1,2,2,1
111,4,6,3,7,2,4
112,1,3,2,2,1,3
113,0,5,0,0,1,0
114,4,4,0,8,3,5
115,3,0,1,4,0,10
116,4,1,5,3,4,4
117,2,2,3,5,4,4
118,3,2,2,4,4,5
119,2,2,1,2,1,2
120,0,0,2,1,1,1
121,4,2,3,2,0,3
122,0,1,0,0,2,0
123,0,1,0,0,1,0
124,3,1,2,2,1,0
125,1,0,1,1,0,1
126,0,0,2,0,0,0
127,1,1,0,1,1,1
128,1,0,0,2,0,1
129,2,1,1,0,0,1
130,1,2,1,0,0,0
131,4,3,1,0,1,2
132,0,0,0,2,0,3
133,2,0,2,1,4,2
134,2,1,2,4,3,3
135,7,2,2,3,2,3
136,1,0,0,1,0,0
137,0,0,0,0,0,1
138,0,1,1,0,0,1
139,1,0,1,0,1,2
140,0,0,3,4,3,2
141,1,0,0,0,0,0
142,0,1,0,0,2,1
143,1,0,2,2,1,3
144,0,0,1,0,0,0
145,0,0,0,2,0,1
146,0,0,1,2,1,0
147,0,2,1,1,1,0
148,1,1,0,2,1,2
149,1,1,1,0,0,1
150,1,1,0,1,1,0
151,0,0,1,1,0,1
152,1,0,2,0,1,1
153,1,0,1,1,2,2
154,0,1,0,0,0,1
155,0,0,1,0,1,2
156,2,0,0,1,0,1
157,1,1,0,3,1,1
158,1,2,1,1,0,0
159,0,0,1,0,2,0
160,0,1,2,2,2,0
161,0,3,1,1,2,0
162,1,2,2,2,3,3
163,2,1,0,0,0,0
164,0,1,1,1,0,2
165,0,0,0,0,0,0
166,3,2,2,0,2,2
167,1,0,2,3,3,4
168,5,0,2,2,1,2
169,5,2,2,2,1,0
170,3,1,3,2,2,2
171,2,2,0,4,1,0
172,0,1,0,0,1,3
173,0,0,0,0,0,0
174,1,0,0,3,1,0
175,3,1,0,0,5,2
176,0,2,0,0,1,0
177,0,3,0,5,1,1
178,0,0,1,1,1,1
179,0,1,0,2,0,0
180,0,0,1,1,4,1
181,0,2,1,1,0,1
182,0,0,1,0,1,0
183,0,1,0,0,0,2
184,0,0,0,1,3,3
185,2,1,1,1,1,2
186,1,2,0,1,1,1
187,4,0,1,2,1,0
188,0,4,1,1,2,0
189,0,0,1,1,0,6
190,0,0,2,2,0,0
191,1,0,2,0,1,1
192,3,1,1,1,3,2
193,16,6,3,4,5,4
194,4,4,2,2,1,3
195,4,1,0,2,4,3
196,3,0,1,1,0,3
197,2,4,2,0,1,1
198,4,0,0,0,0,0
199,0,0,1,1,2,2
200,1,0,1,0,1,1
201,1,0,0,0,0,0
202,3,3,0,0,0,0
203,1,1,0,0,0,0
