,9861,10021,12876,14380,15496,15697
204,2,0,0,0,0,0
205,0,0,0,0,0,0
206,0,2,0,0,0,0
207,1,0,0,0,0,0
208,0,2,0,0,0,0
209,0,0,0,0,0,0
210,3,0,0,0,0,0
211,0,1,0,0,0,0
212,0,1,0,0,0,0
213,3,3,0,0,0,0
214,2,11,0,0,0,0
215,1,1,0,0,0,0
216,0,1,0,0,0,0
217,0,1,0,0,0,0
218,2,3,0,0,0,0
219,0,0,0,0,0,0
220,1,1,0,0,0,0
221,0,0,0,0,0,0
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,0,0,0,0,0,0
225,0,2,0,0,0,0
226,0,1,0,0,0,0
227,3,1,0,0,0,0
228,1,0,0,0,0,0
229,3,1,0,0,0,0
230,2,1,0,0,0,0
231,0,2,0,0,0,0
232,0,0,0,0,0,0
233,1,1,0,0,0,0
234,2,2,0,0,0,0
235,1,0,0,0,0,0
236,0,0,0,0,0,0
237,0,0,0,0,0,0
238,2,0,0,0,0,0
239,1,0,0,0,0,0
240,1,0,0,0,0,0
241,2,0,0,0,0,0
242,1,0,0,0,0,0
243,0,0,0,0,0,0
244,6,0,0,0,0,0
245,1,0,0,0,0,0
246,2,2,0,0,0,0
247,0,0,0,0,0,0
248,1,0,0,0,0,0
249,2,0,0,0,0,0
250,0,0,0,0,0,0
251,0,1,0,0,0,0
252,0,0,0,0,0,0
253,2,1,0,0,0,0
254,0,0,0,0,0,0
255,0,0,0,0,0,0
256,1,0,0,0,0,0
257,5,2,0,0,0,0
258,1,0,0,0,0,0
259,4,2,0,0,0,0
260,8,7,0,0,0,0
261,1,3,0,0,0,0
262,0,0,0,0,0,0
263,0,1,0,0,0,0
264,1,2,0,0,0,0
265,0,1,0,0,0,0
266,1,0,0,0,0,0
267,0,0,0,0,0,0
268,1,0,0,0,0,0
269,0,1,0,0,0,0
270,0,2,0,0,0,0
271,0,0,0,0,0,0
272,0,0,0,0,0,0
273,0,0,0,0,0,0
274,0,0,0,0,0,0
275,1,1,0,0,0,0
276,3,1,0,0,0,0
277,1,1,0,0,0,0
278,1,0,0,0,0,0
279,3,1,0,0,0,0
280,0,1,0,0,0,0
281,0,1,0,0,0,0
282,3,2,0,0,0,0
283,3,2,0,0,0,0
284,0,0,0,0,0,0
285,1,0,0,0,0,0
286,1,0,0,0,0,0
287,1,0,0,0,0,0
288,1,0,0,0,0,0
289,0,1,0,0,0,0
290,3,0,0,0,0,0
291,2,3,0,0,0,0
292,2,1,0,0,0,0
293,0,1,0,0,0,0
294,0,1,0,0,0,0
295,0,0,0,0,0,0
296,0,2,0,0,0,0
297,1,3,0,0,0,0
298,0,2,0,0,0,0
299,0,0,0,0,0,0
300,0,0,0,0,0,0
301,1,0,0,0,0,0
302,0,0,0,0,0,0
303,0,0,0,0,0,0
304,1,0,0,0,0,0
305,0,1,0,0,0,0
306,0,1,0,0,0,0
307,1,0,0,0,0,0
308,1,1,0,0,0,0
309,1,1,0,0,0,0
310,1,3,0,0,0,0
311,3,1,0,0,0,0
312,1,1,0,0,0,0
313,4,2,0,0,0,0
314,2,1,0,0,0,0
315,5,5,0,0,0,0
316,0,1,0,0,0,0
317,1,3,0,0,0,0
318,1,2,0,0,0,0
319,4,3,0,0,0,0
320,3,5,0,0,0,0
321,1,0,0,0,0,0
322,6,5,0,0,0,0
323,1,4,0,0,0,0
324,3,0,0,0,0,0
325,0,1,0,0,0,0
326,0,0,0,0,0,0
327,0,0,0,0,0,0
328,0,2,0,0,0,0
329,1,0,0,0,0,0
330,1,0,0,0,0,0
331,0,1,0,0,0,0
332,1,2,0,0,0,0
333,1,0,0,0,0,0
334,2,2,0,0,0,0
335,1,1,0,0,0,0
336,5,1,0,0,0,0
337,5,0,0,0,0,0
338,1,2,0,0,0,0
339,0,0,0,0,0,0
340,0,0,0,0,0,0
341,0,0,0,0,0,0
342,0,0,0,0,0,0
343,0,0,0,0,0,0
344,0,0,0,0,0,0
345,0,3,0,0,0,0
346,0,0,0,0,0,0
347,4,4,0,0,0,0
348,1,0,0,0,0,0
349,6,1,0,0,0,0
350,1,0,0,0,0,0
351,0,0,0,0,0,0
352,0,0,0,0,0,0
353,1,1,0,0,0,0
354,1,0,0,0,0,0
355,1,0,0,0,0,0
356,2,0,0,0,0,0
357,1,0,0,0,0,0
358,6,3,0,0,0,0
359,2,0,0,0,0,0
360,2,1,0,0,0,0
361,5,1,0,0,0,0
362,2,2,0,0,0,0
363,0,0,0,0,0,0
364,0,0,0,0,0,0
365,0,2,0,0,0,0
366,1,4,0,0,0,0
367,1,0,0,0,0,0
368,1,6,0,0,0,0
369,1,0,0,0,0,0
370,1,2,0,0,0,0
371,6,1,0,0,0,0
372,0,2,0,0,0,0
373,2,1,0,0,0,0
374,1,0,0,0,0,0
375,1,1,0,0,0,0
376,2,2,0,0,0,0
377,0,0,0,0,0,0
378,0,1,0,0,0,0
379,0,1,0,0,0,0
380,0,0,0,0,0,0
381,0,0,0,0,0,0
382,1,0,0,0,0,0
383,3,3,0,0,0,0
384,1,0,0,0,0,0
385,0,0,0,0,0,0
386,0,1,0,0,0,0
387,1,0,0,0,0,0
388,1,1,0,0,0,0
389,3,7,0,0,0,0
390,26,9,0,0,0,0
391,1,0,0,0,0,0
392,4,4,0,0,0,0
393,1,2,0,0,0,0
394,1,0,0,0,0,0
395,3,2,0,0,0,0
396,0,1,0,0,0,0
397,0,0,0,0,0,0
398,2,0,0,0,0,0
399,0,1,0,0,0,0
400,0,0,0,0,0,0
