optimal_eta,optimal_gamma
-2.55,0.227432352941176
-2.975,0.190665808823529
-3.375,0.237236764705882
-3.025,0.247041176470588
-2.95,0.195568014705882
-2.975,0.205372426470588
-3.125,0.198019117647059
-3.15,0.193116911764706
-2.95,0.205372426470588
-3.05,0.205372426470588
-3.125,0.215176838235294
-2.775,0.220079044117647
-3.3,0.185763602941176
-3.275,0.153899264705882
-2.825,0.185763602941176
-3.5,0.227432352941176
-3.55,0.188214705882353
-3,0.261747794117647
-2.65,0.249492279411765
-2.8,0.207823529411765
-3.475,0.207823529411765
-2.9,0.215176838235294
-3.175,0.202921323529412
-3.6,0.207823529411765
-2.85,0.188214705882353
-3.225,0.232334558823529
-2.7,0.212725735294118
-3.225,0.232334558823529
-2.55,0.237236764705882
-2.9,0.212725735294118
-3.25,0.161252573529412
-2.85,0.222530147058824
-2.825,0.249492279411765
-3.025,0.193116911764706
-2.875,0.210274632352941
-3.55,0.234785661764706
-3.325,0.198019117647059
-3.175,0.161252573529412
-3.2,0.175959191176471
-2.525,0.251943382352941
-3.275,0.175959191176471
-2.9,0.205372426470588
-3.425,0.202921323529412
-4.125,0.234785661764706
-3.7,0.244590073529412
-2.875,0.220079044117647
-2.475,0.195568014705882
-2.95,0.207823529411765
-2.95,0.22498125
-2.875,0.202921323529412
-2.65,0.212725735294118
-2.875,0.274003308823529
-3.375,0.229883455882353
-3.4,0.254394485294118
-3.325,0.202921323529412
-3.025,0.237236764705882
-3.5,0.229883455882353
-3.275,0.242138970588235
-2.5,0.234785661764706
-2.7,0.220079044117647
-3.325,0.207823529411765
-3.2,0.207823529411765
-2.125,0.242138970588235
-3.3,0.217627941176471
-2.775,0.222530147058824
-3.475,0.210274632352941
-2.5,0.212725735294118
-3.225,0.242138970588235
-3.225,0.229883455882353
-2.975,0.232334558823529
-3.225,0.242138970588235
-3.325,0.195568014705882
-3.025,0.212725735294118
-2.675,0.195568014705882
-3,0.210274632352941
-2.9,0.185763602941176
-3,0.175959191176471
-2.95,0.212725735294118
-3.45,0.144094852941176
-2.5,0.278905514705882
-2.875,0.212725735294118
-3.2,0.200470220588235
-2.7,0.205372426470588
-3.775,0.210274632352941
-2.325,0.26665
-2.85,0.237236764705882
-2.875,0.210274632352941
-3.025,0.220079044117647
-2.7,0.205372426470588
-2.55,0.215176838235294
-3.4,0.190665808823529
-3.475,0.251943382352941
-3.425,0.198019117647059
-3.3,0.198019117647059
-3.275,0.180861397058824
-3.125,0.237236764705882
-3.175,0.202921323529412
-3.5,0.242138970588235
-2.925,0.234785661764706
-3.1,0.190665808823529
-3.025,0.217627941176471
-2.5,0.269101102941176
-3.075,0.205372426470588
-2.225,0.234785661764706
-3.5,0.202921323529412
-3.375,0.251943382352941
-3.175,0.249492279411765
-3.225,0.200470220588235
-2.875,0.227432352941176
-3.025,0.220079044117647
-2.675,0.212725735294118
-3.225,0.193116911764706
-2.7,0.242138970588235
-3.125,0.205372426470588
-3.2,0.200470220588235
-3.425,0.212725735294118
-3.15,0.193116911764706
-2.525,0.249492279411765
-2.6,0.305867647058824
-3.275,0.190665808823529
-3.075,0.210274632352941
-2.9,0.22498125
-3.375,0.256845588235294
-2.55,0.249492279411765
-3.575,0.200470220588235
-2.65,0.151448161764706
-2.4,0.247041176470588
-2.925,0.229883455882353
-2.625,0.244590073529412
-3.075,0.254394485294118
-3.275,0.229883455882353
-3.475,0.171056985294118
-2.7,0.242138970588235
-2.75,0.22498125
-3.35,0.244590073529412
-3.05,0.261747794117647
-3.45,0.198019117647059
-3.2,0.210274632352941
-2.95,0.244590073529412
-2.85,0.171056985294118
-2.475,0.242138970588235
-2.95,0.207823529411765
-3.45,0.251943382352941
-2.875,0.234785661764706
-3.5,0.202921323529412
-3,0.200470220588235
-3.325,0.207823529411765
-2.75,0.202921323529412
-3.25,0.171056985294118
-2.775,0.247041176470588
-3.325,0.229883455882353
-2.8,0.195568014705882
-2.775,0.212725735294118
-3.025,0.178410294117647
-3.2,0.166154779411765
-2.85,0.281356617647059
-3.025,0.207823529411765
-3.3,0.220079044117647
-2.85,0.200470220588235
-2.8,0.271552205882353
-3.1,0.200470220588235
-4.1,0.193116911764706
-2.775,0.217627941176471
-2.975,0.215176838235294
-3.2,0.210274632352941
-3.15,0.215176838235294
-3.4,0.229883455882353
-2.775,0.222530147058824
-2.775,0.26665
-2.125,0.217627941176471
-2.95,0.207823529411765
-3.325,0.242138970588235
-2.55,0.232334558823529
-2.075,0.234785661764706
-2.775,0.202921323529412
-2.775,0.212725735294118
-2.575,0.205372426470588
-3.075,0.249492279411765
-3.325,0.210274632352941
-2.925,0.244590073529412
-3.25,0.205372426470588
-2.85,0.261747794117647
-2.75,0.188214705882353
-3.7,0.200470220588235
-2.85,0.217627941176471
-3.1,0.212725735294118
-3.575,0.207823529411765
-2.9,0.261747794117647
-2.8,0.217627941176471
-2.75,0.242138970588235
-2.875,0.207823529411765
-3.15,0.200470220588235
-3.075,0.168605882352941
-2.825,0.239687867647059
-3,0.249492279411765
-2.7,0.232334558823529
-3.2,0.200470220588235
-3.3,0.1833125
-3.475,0.202921323529412
-3.4,0.161252573529412
-3.15,0.1833125
-3.15,0.22498125
-2.45,0.227432352941176
-2.825,0.166154779411765
-2.55,0.232334558823529
-3.45,0.178410294117647
-2.525,0.200470220588235
-2.975,0.210274632352941
-2.925,0.251943382352941
-3.1,0.220079044117647
-3.325,0.195568014705882
-2.875,0.229883455882353
-2.8,0.207823529411765
-2.85,0.158801470588235
-3.575,0.261747794117647
-2.35,0.202921323529412
-3,0.244590073529412
-2.925,0.217627941176471
-2.825,0.215176838235294
-2.55,0.227432352941176
-2.725,0.210274632352941
-2.8,0.222530147058824
-3.525,0.195568014705882
-3.15,0.251943382352941
-2.75,0.22498125
-2.675,0.251943382352941
-3.475,0.229883455882353
-2.95,0.202921323529412
-3,0.210274632352941
-2.525,0.244590073529412
-3.3,0.229883455882353
-2.9,0.215176838235294
-2.75,0.205372426470588
-2.475,0.242138970588235
-3.25,0.205372426470588
-3.225,0.217627941176471
-2.875,0.229883455882353
-3.025,0.217627941176471
-2.85,0.207823529411765
-3,0.207823529411765
-3.15,0.237236764705882
-3.05,0.215176838235294
-3.25,0.180861397058824
-2.925,0.232334558823529
-2.975,0.215176838235294
-3.575,0.185763602941176
-3.3,0.148997058823529
-3.425,0.212725735294118
-2.725,0.185763602941176
-2.325,0.202921323529412
-3.05,0.205372426470588
-3.125,0.222530147058824
-2.95,0.207823529411765
-2.775,0.180861397058824
-2.875,0.205372426470588
-2.375,0.215176838235294
-3.425,0.14164375
-3.225,0.229883455882353
-2.825,0.190665808823529
-2.875,0.232334558823529
-3.175,0.1833125
-3.2,0.227432352941176
-3.275,0.198019117647059
-3.35,0.244590073529412
-2.95,0.274003308823529
-2.825,0.212725735294118
-2.7,0.22498125
-2.75,0.22498125
-2.95,0.220079044117647
-3.15,0.205372426470588
-2.5,0.251943382352941
-3.175,0.217627941176471
-2.775,0.22498125
-2.725,0.229883455882353
-3.25,0.178410294117647
-2.85,0.146545955882353
-3.075,0.215176838235294
-2.7,0.274003308823529
-2.975,0.190665808823529
-2.975,0.193116911764706
-3.475,0.210274632352941
-3.225,0.202921323529412
-2.55,0.232334558823529
-3.625,0.251943382352941
-2.6,0.222530147058824
-2.4,0.237236764705882
-2.525,0.239687867647059
-3.025,0.188214705882353
-2.95,0.180861397058824
-3.15,0.198019117647059
-3.3,0.249492279411765
-2.775,0.234785661764706
-3.25,0.215176838235294
-3.325,0.229883455882353
-3,0.207823529411765
-2.95,0.175959191176471
-2.6,0.190665808823529
-3.025,0.22498125
-3.55,0.178410294117647
-3.55,0.210274632352941
-3.2,0.212725735294118
-2.5,0.173508088235294
-3.5,0.215176838235294
-2.95,0.237236764705882
-2.95,0.217627941176471
-2.875,0.193116911764706
-2.875,0.229883455882353
-3.375,0.175959191176471
-2.6,0.229883455882353
-3.2,0.185763602941176
-3.025,0.220079044117647
-3.225,0.200470220588235
-3.275,0.180861397058824
-3.325,0.200470220588235
-3,0.202921323529412
-3.025,0.200470220588235
-3.125,0.237236764705882
-3.475,0.239687867647059
-3.2,0.215176838235294
-2.45,0.1833125
-3.3,0.202921323529412
-3.225,0.175959191176471
-2.5,0.259296691176471
-3.025,0.232334558823529
-2.925,0.202921323529412
-2.95,0.227432352941176
-2.825,0.161252573529412
-3.3,0.237236764705882
-2.825,0.222530147058824
-3.65,0.178410294117647
-3.2,0.173508088235294
-2.625,0.212725735294118
-2.9,0.198019117647059
-3.425,0.220079044117647
-3.35,0.173508088235294
-3.4,0.251943382352941
-3.475,0.212725735294118
-2.95,0.259296691176471
-3,0.210274632352941
-3.1,0.202921323529412
-3.4,0.227432352941176
-2.975,0.202921323529412
-3.2,0.259296691176471
-3.3,0.215176838235294
-2.95,0.180861397058824
-2.625,0.207823529411765
-3.325,0.200470220588235
-3.025,0.251943382352941
-3.475,0.207823529411765
-2.85,0.207823529411765
-3.2,0.215176838235294
-3.15,0.242138970588235
-3.125,0.264198897058824
-3.45,0.178410294117647
-3,0.254394485294118
-3.175,0.205372426470588
-2.825,0.205372426470588
-3.025,0.212725735294118
-2.9,0.188214705882353
-3.4,0.195568014705882
-3.05,0.212725735294118
-3.075,0.227432352941176
-3.225,0.207823529411765
-3,0.207823529411765
-3.475,0.185763602941176
-3.15,0.227432352941176
-2.7,0.242138970588235
-2.825,0.261747794117647
-3.025,0.222530147058824
-2.6,0.237236764705882
-3.125,0.239687867647059
-2.775,0.22498125
-3.175,0.256845588235294
-3.325,0.200470220588235
-2.775,0.220079044117647
-2.9,0.202921323529412
-2.95,0.193116911764706
-2.6,0.278905514705882
-3.175,0.210274632352941
-2.875,0.188214705882353
-2.925,0.200470220588235
-2.875,0.207823529411765
-3.45,0.198019117647059
-3.05,0.212725735294118
-2.7,0.1833125
-2.35,0.217627941176471
-2.825,0.232334558823529
-2.425,0.239687867647059
-2.975,0.210274632352941
-2.575,0.229883455882353
-2.65,0.207823529411765
-2.775,0.215176838235294
-2.625,0.188214705882353
-2.7,0.190665808823529
-3.125,0.173508088235294
-2.7,0.205372426470588
-3.15,0.251943382352941
-2.4,0.210274632352941
-3.375,0.193116911764706
-3.5,0.22498125
-3.025,0.227432352941176
-3,0.227432352941176
-3.35,0.1833125
-3.15,0.200470220588235
-2.725,0.195568014705882
-3.4,0.205372426470588
-2.725,0.247041176470588
-2.95,0.185763602941176
-3.35,0.207823529411765
-2.95,0.227432352941176
-3.175,0.220079044117647
-2.7,0.205372426470588
-3.425,0.193116911764706
-3.325,0.200470220588235
-2.425,0.237236764705882
-3.475,0.215176838235294
-3.325,0.190665808823529
-2.95,0.229883455882353
-3.225,0.188214705882353
-2.975,0.22498125
-2.875,0.210274632352941
-2.35,0.247041176470588
-3.225,0.237236764705882
-2.85,0.217627941176471
-2.575,0.190665808823529
-2.625,0.215176838235294
-2.9,0.229883455882353
-3,0.254394485294118
-2.625,0.247041176470588
-3.6,0.195568014705882
-2.85,0.251943382352941
-3.925,0.166154779411765
-2.875,0.185763602941176
-2.6,0.237236764705882
-3.7,0.22498125
-3.175,0.180861397058824
-2.65,0.180861397058824
-2.85,0.222530147058824
-3.1,0.205372426470588
-3.1,0.207823529411765
-3.175,0.195568014705882
-3.4,0.207823529411765
-3.325,0.188214705882353
-2.15,0.249492279411765
